titolo,autore,tipo,data di creazione,luogo di creazione,ubicazione,identificatore,tecnica,formato,soggetto,relazione

"lettera a Theo del 9 aprile 1885",Vincent Van Gogh,lettera,9 aprile 1885,Nuenen,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_1885.pdf",inchiostro su carta,"20,7 cm x 26,4 cm","impressionismo; riflessione; colore; contadini","mangiatori di patate"
"lettera a Theo del 10 settembre 1888",Vincent Van Gogh,lettera,10 settembre 1888,Arles,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_10_9_1888.pdf",inchiostro su carta,"21 cm x 26,8 cm","Gauguin; casa gialla; pace; girasoli; lavoro","girasoli"
"lettera a Theo del 23 dicembre 1888",Vincent Van Gogh,lettera,23 dicembre 1888,Arles,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_23_12_1888.pdf",inchiostro su carta,"21 cm x 27 cm","Gauguin; casa gialla; difficoltà","la casa gialla"
"lettera a Theo del 16 ottobre 1888",Vincent Van Gogh,lettera,16 ottobre 1888,Arles,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_16_10_1888.pdf",inchiostro su carta,"21,1 cm x 13,5 cm","casa gialla; stanza di Vincent","la camera di Vincent ad Arles"
"lettera a Theo del 22 marzo 1889",Vincent Van Gogh,lettera,22 marzo 1889,Arles,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_22_3_1889.pdf",inchiostro su carta,"20,8 cm x 26,8 cm","ospedale; pazzia; dottori","iris"
"lettera a Theo del 23 luglio 1890",Vincent Van Gogh,lettera,23 luglio 1890,Auvers-sur-Oise,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/lettere/lettera_23_7_1890.pdf",inchiostro su carta,"21,8 cm x 34 cm2,"malattia; lavoro; riflessione","campo di grano con corvi"

"Mangiatori di patate",Vincent Van Gogh,dipinto,aprile-maggio 1885,Nuenen,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/mangiatori_di_patate.jpg",olio su tela,"82 cm x 114 cm","contadini; patate; luci e ombre","lettera a Theo del 9 aprile 1885"
"Girasoli",Vincent Van Gogh,dipinto,agosto-settembre 1888,Arles,Londra National Gallery,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/girasoli.jpg",olio su tela,"92,1 cm x 73 cm","girasoli; vaso; giallo","lettera a Theo del 10 settembre 1888"
"Camera di Vincent ad Arles",Vincent Van Gogh,dipinto,ottobre 1888,Arles,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/la_camera_di_vincent.jpg",olio su tela, "72 cm x 90 cm","stanza; casa gialla","lettera a Theo del 16 ottobre 1888"
"La casa gialla",Vincent Van Gogh,dipinto,settembre 1888,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/la_casa_gialla.jpg",olio su tela,"76 cm × 94 cm","casa gialla; solitudine","lettera a Theo del 23 dicembre 1888"
"Campo di grano con corvi",Vincent Van Gogh,dipinto,luglio 1890,Auvers-sur-Oise,Amsterdam Van Gogh Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/campo_di_grano_con_corvi.jpg",olio su tela,"50,5 cm x 103 cm","malattia; solitudine","lettera a Theo del 23 luglio 1890"
"Iris",Vincent Van Gogh,dipinto,marzo 1889,Los Angeles Getty Museum,"https://github.com/matildecamprini05/informaticaumanistica/blob/main/SitoVanGogh/img/dipinti/iris.jpg",olio su tela,"71 cm x 93 cm",malattia; ospedale; pace","lettera a Theo del 22 marzo 1889"
